ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
52	6.5910361160581346	6.42472554348965	7.995603106909997	8.459178665871907
53	6.581254812163008	6.42311945809886	7.997499337884575	8.45873449629954
54	6.609881605559766	6.460695135827366	8.005057824488015	8.456925931852364
55	6.632214380465186	6.479551833394278	8.009732285688656	8.455569017461425
56	6.713466796806219	6.57552088802061	8.025986897519418	8.453192432963188
57	6.751240184472359	6.608510287843481	8.031983356511661	8.451126939215639
58	6.6900119340787665	6.552174930032452	8.022830798985982	8.449231543146364
59	6.696435042880121	6.553109998983298	8.024911887295735	8.449159121141905
60	6.607493852719387	6.478759473129719	8.012668403985904	8.447329551944415
61	6.681605011317743	6.559171481521349	8.02702370822722	8.445871263969963
62	6.645041245415953	6.521352988846229	8.021137558908395	8.444113437345456
63	6.717028684941931	6.605781039858904	8.03417488115921	8.44170935880072
64	6.714295199747206	6.597596100861917	8.033050077574154	8.439732907808516
65	6.632811810791544	6.516020673204995	8.019922962304957	8.437964346113592
66	6.667418002816314	6.563813995876474	8.026302908695834	8.435668031500072
67	6.741932043634954	6.634283014902081	8.037477342863415	8.433460923489221
68	6.55914452560932	6.459819733941792	8.006452678805257	8.430208227804739
69	6.698191474244069	6.588339345155734	8.028930350811144	8.42921719518534
70	6.66794172572316	6.563154653057808	8.025198673237213	8.428130104053185
71	6.571911148325575	6.471319442117122	8.009840161579067	8.426191235750272
72	6.712299432128622	6.620000995703708	8.032615955548946	8.423619166060078
73	6.703379307687681	6.608676038486567	8.029569051358163	8.42129484547626
74	6.526409537071689	6.433083528196396	7.9997626052378354	8.420084566328166
75	6.604156088877575	6.5231789836282745	8.011484732294235	8.41627731772885
76	6.610251636165618	6.512853164158838	8.00949853401708	8.414939739032729
77	6.7203840282849425	6.6393052492923275	8.02797095082544	8.411507400799001
78	6.697987598819745	6.606978042232058	8.021660692303328	8.410073626479265
79	6.608035660724324	6.521713856252977	8.005933250244288	8.406799962173226
80	6.617226865544657	6.528071007521543	8.006087610453013	8.404784497161296
81	7.660467063908774	7.6306567562778325	8.157446775973948	8.390627553990914
82	7.681971095998373	7.497146990893761	8.044596658410896	8.374927317728911
83	7.702071227206609	7.425899904001376	7.946166647160861	8.352821662295195
84	7.703942899040554	7.38143705482196	7.863234867419645	8.326666189747817
85	7.70239053182962	7.346103927097746	7.788488104159794	8.22806423077042
86	7.711508813915821	7.320338460561047	7.740901926865434	8.149811007454238
87	7.751723392690723	7.310877769637118	7.71667193363783	8.096027155613857
88	7.757789124022701	7.3032858055856025	7.697987196752768	8.056734024667746
89	7.737703060974859	7.292989405903298	7.6810931661415385	8.033633205246362
90	7.76617403094393	7.289391019638354	7.674939541109504	8.023626837724912
91	7.749860486561936	7.285136895158247	7.668558600775297	8.012458432924639
92	7.743174090960174	7.281427581796816	7.663313360874958	8.005356902863781
93	7.7458173828520795	7.278469935081325	7.658686514078215	7.996965288152292
94	7.7559552031353025	7.27879925027504	7.658052929908264	7.995259145774446
95	7.753536485471505	7.275873690582827	7.657878502371106	7.9958944451922624
96	7.73670891588539	7.269558520277035	7.652854675728848	7.991813734158277
97	7.754200684278197	7.268800953786949	7.651002059640506	7.987918627925208
98	7.749976699063859	7.266684241626677	7.649215948126071	7.986193735402336
99	7.772594452735254	7.269376663497311	7.652333153508339	7.9907131958263005
100	7.752298806156069	7.269988247753465	7.651787253588616	7.9869128637089775
